miscellaneous:miscellaneous,elegy:elegy,epic:epic,drama:drama
Textname,Genre
tesserae/texts/la/anonymous.laudes_domini.tess,miscellaneous
tesserae/texts/la/claudian.carmina_minora.tess,miscellaneous
tesserae/texts/la/claudian.de_bello_gildonico.tess,epic
tesserae/texts/la/claudian.de_bello_gothico.tess,epic
tesserae/texts/la/claudian.de_consulatu_stilichonis/claudian.de_consulatu_stilichonis.part.1.tess,epic
tesserae/texts/la/claudian.de_consulatu_stilichonis/claudian.de_consulatu_stilichonis.part.2.tess,epic
tesserae/texts/la/claudian.de_consulatu_stilichonis/claudian.de_consulatu_stilichonis.part.3.tess,epic
tesserae/texts/la/claudian.de_raptu_proserpinae/claudian.de_raptu_proserpinae.part.1.tess,epic
tesserae/texts/la/claudian.de_raptu_proserpinae/claudian.de_raptu_proserpinae.part.2.tess,epic
tesserae/texts/la/claudian.de_raptu_proserpinae/claudian.de_raptu_proserpinae.part.3.tess,epic
tesserae/texts/la/claudian.epithalamium_de_nuptiis_honorii_augusti.tess,miscellaneous
tesserae/texts/la/claudian.in_consulatum_olybrii_et_probini.tess,miscellaneous
tesserae/texts/la/claudian.in_eutropium/claudian.in_eutropium.part.1.tess,epic
tesserae/texts/la/claudian.in_eutropium/claudian.in_eutropium.part.2.tess,epic
tesserae/texts/la/claudian.in_rufinum/claudian.in_rufinum.part.1.tess,epic
tesserae/texts/la/claudian.in_rufinum/claudian.in_rufinum.part.2.tess,epic
tesserae/texts/la/claudian.panegyricus_de_quarto_consulatu_honorii_augusti.tess,miscellaneous
tesserae/texts/la/claudian.panegyricus_de_sexto_consulatu_honorii_augusti.tess,miscellaneous
tesserae/texts/la/claudian.panegyricus_de_tertio_consulatu_honorii_augusti.tess,miscellaneous
tesserae/texts/la/claudian.panegyricus_dictus_manlio_theodoro_consuli.tess,miscellaneous
tesserae/texts/la/ennius.annales.tess,epic
tesserae/texts/la/ennodius.opera.tess,miscellaneous
tesserae/texts/la/horace.ars_poetica.tess,miscellaneous
tesserae/texts/la/horace.carmen_saeculare.tess,miscellaneous
tesserae/texts/la/horace.epistles.tess,miscellaneous
tesserae/texts/la/horace.epodes.tess,miscellaneous
tesserae/texts/la/horace.odes/horace.odes.part.1.tess,miscellaneous
tesserae/texts/la/horace.odes/horace.odes.part.2.tess,miscellaneous
tesserae/texts/la/horace.odes/horace.odes.part.3.tess,miscellaneous
tesserae/texts/la/horace.odes/horace.odes.part.4.tess,miscellaneous
